Year,RU,F_System,State,Mileage,Lane_Miles,VMT,Fatalities
1980,Urban,Other Principal Arterial,District of Columbia,81,408,908000000,9
1980,Urban,Other Principal Arterial,Florida,1440,6466,11468000000,346
1980,Urban,Other Principal Arterial,Georgia,1152,3550,4965000000,148
1980,Urban,Other Principal Arterial,Hawaii,50,217,352000000,12
1980,Urban,Other Principal Arterial,Idaho,138,5880,600000000,18
1980,Urban,Other Principal Arterial,Illinois,1809,3885,10797000000,0
1980,Urban,Other Principal Arterial,Indiana,1314,1708,5824000000,13
1980,Urban,Other Principal Arterial,Iowa,566,397,1922000000,67
1980,Urban,Other Principal Arterial,Kansas,517,1644,1978000000,31
1980,Urban,Other Principal Arterial,Kentucky,394,1251,2288000000,66
1980,Urban,Other Principal Arterial,Louisiana,725,2258,3851000000,119
1980,Urban,Other Principal Arterial,Maine,195,4255,899000000,14
1980,Urban,Other Principal Arterial,Maryland,762,2789,5605000000,142
1980,Urban,Other Principal Arterial,Massachusetts,1786,486,8783000000,174
1980,Urban,Other Principal Arterial,Michigan,1834,6879,12914000000,170
1980,Urban,Other Principal Arterial,Minnesota,459,1330,1857000000,60
1980,Urban,Other Principal Arterial,Mississippi,442,3259,1646000000,45
1980,Urban,Other Principal Arterial,Missouri,1002,1356,4120000000,129
1980,Urban,Other Principal Arterial,Montana,156,481,492000000,23
1980,Urban,Other Principal Arterial,Nebraska,359,332,1511000000,41
1980,Urban,Other Principal Arterial,Nevada,125,4283,982000000,32
1980,Urban,Other Principal Arterial,New Hampshire,152,4149,673000000,8
1980,Urban,Other Principal Arterial,New Jersey,1243,1230,9837000000,308
